city,name,lat,lng,osm_id,source
Bengaluru,"Indiranagar",12.973291,77.640467,node/448991617,nominatim
Bengaluru,"Koramangala",12.935737,77.624081,node/429918282,nominatim
Bengaluru,"HSR Layout",12.911623,77.638862,relation/17168010,nominatim
Bengaluru,"Jayanagar",12.929273,77.582423,node/429853334,nominatim
Bengaluru,"JP Nagar",12.909694,77.586607,relation/17205864,nominatim
Bengaluru,"BTM Layout",12.914001,77.610282,node/447032046,nominatim
Bengaluru,"Whitefield",12.995743,77.757949,node/5760197744,nominatim
Bengaluru,"Marathahalli",12.955257,77.698416,relation/19884550,nominatim
Bengaluru,"Bellandur",12.932049,77.684292,relation/19884585,nominatim
Bengaluru,"Electronic City",12.848760,77.648253,way/287685707,nominatim
Bengaluru,"Hebbal",13.038218,77.591900,relation/19883365,nominatim
Bengaluru,"Yelahanka",13.100698,77.596345,node/430143744,nominatim
Bengaluru,"Malleshwaram",13.002735,77.570325,node/427595936,nominatim
Bengaluru,"Rajajinagar",13.000523,77.549617,node/5760198632,nominatim
Bengaluru,"Basavanagudi",12.941726,77.575502,node/429937956,nominatim
Bengaluru,"Banashankari",12.927820,77.556621,node/12816045429,nominatim
Bengaluru,"Vijayanagar",12.970954,77.537385,node/5760197784,nominatim
Bengaluru,"RT Nagar",13.022720,77.595715,node/430043651,nominatim
Bengaluru,"Frazer Town",12.997585,77.613674,node/430051517,nominatim
Bengaluru,"Ulsoor",12.977879,77.624670,relation/19884505,nominatim
Bengaluru,"Shivajinagar",12.985529,77.605450,relation/19884596,nominatim
Bengaluru,"Domlur",12.962467,77.638196,node/347261886,nominatim
Bengaluru,"Banaswadi",13.014162,77.651854,relation/19883482,nominatim
Bengaluru,"Kalyan Nagar",13.022142,77.640337,node/567772575,nominatim
Bengaluru,"HBR Layout",13.031992,77.628079,relation/19883455,nominatim
Bengaluru,"Hennur",13.037077,77.641357,node/12468364695,nominatim
Bengaluru,"Thanisandra",13.052250,77.631615,relation/19883250,nominatim
Bengaluru,"Yeshwanthpur",13.017694,77.555501,way/1238794971,nominatim
Bengaluru,"Peenya",13.032981,77.533180,node/5760198625,nominatim
Bengaluru,"Kengeri",12.917657,77.483757,node/308062102,nominatim
Bengaluru,"Rajarajeshwari Nagar",12.927441,77.515522,node/447063719,nominatim
